Company,Symbol
ABB India Ltd.,ABB
Adani Enterprises Ltd.,ADANIENT
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS
Adani Power Ltd.,ADANIPOWER
Ambuja Cements Ltd.,AMBUJACEM
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP
Asian Paints Ltd.,ASIANPAINT
Axis Bank Ltd.,AXISBANK
Bajaj Auto Ltd.,BAJAJ-AUTO
Bajaj Finance Ltd.,BAJFINANCE
Bajaj Finserv Ltd.,BAJAJFINSV
Bharat Electronics Ltd.,BEL
Bharat Forge Ltd.,BHARATFORG
Bharat Petroleum Corporation Ltd.,BPCL
Bharti Airtel Ltd.,BHARTIARTL
Bosch Ltd.,BOSCHLTD
Britannia Industries Ltd.,BRITANNIA
Canara Bank,CANBK
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN
Cipla Ltd.,CIPLA
Coal India Ltd.,COALINDIA
DLF Ltd.,DLF
Dabur India Ltd.,DABUR
Divi's Laboratories Ltd.,DIVISLAB
Dr. Reddy's Laboratories Ltd.,DRREDDY
Eicher Motors Ltd.,EICHERMOT
GAIL (India) Ltd.,GAIL
Godrej Consumer Products Ltd.,GODREJCP
Grasim Industries Ltd.,GRASIM
HCL Technologies Ltd.,HCLTECH
HDFC Bank Ltd.,HDFCBANK
HDFC Life Insurance Company Ltd.,HDFCLIFE
Hero MotoCorp Ltd.,HEROMOTOCO
Hindalco Industries Ltd.,HINDALCO
Hindustan Aeronautics Ltd.,HAL
Hindustan Petroleum Corporation Ltd.,HINDPETRO
Hindustan Unilever Ltd.,HINDUNILVR
ICICI Bank Ltd.,ICICIBANK
ICICI Lombard General Insurance Company Ltd.,ICICIGI
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI
ITC Ltd.,ITC
Indian Oil Corporation Ltd.,IOC
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC
Indian Railway Finance Corporation Ltd.,IRFC
IndusInd Bank Ltd.,INDUSINDBK
Info Edge (India) Ltd.,NAUKRI
Infosys Ltd.,INFY
InterGlobe Aviation Ltd.,INDIGO
JSW Energy Ltd.,JSWENERGY
JSW Steel Ltd.,JSWSTEEL
Jindal Steel & Power Ltd.,JINDALSTEL
Jio Financial Services Ltd.,JIOFIN
Kotak Mahindra Bank Ltd.,KOTAKBANK
LTIMindtree Ltd.,LTIM
Larsen & Toubro Ltd.,LT
Life Insurance Corporation Of India,LICI
Lodha Developers Ltd.,LODHA
M&M Financial Services Ltd.,M&MFIN
Mahindra & Mahindra Ltd.,M&M
Maruti Suzuki India Ltd.,MARUTI
Max Healthcare Institute Ltd.,MAXHEALTH
Nestle India Ltd.,NESTLEIND
NTPC Ltd.,NTPC
Oil & Natural Gas Corporation Ltd.,ONGC
Pidilite Industries Ltd.,PIDILITIND
Power Finance Corporation Ltd.,PFC
Power Grid Corporation of India Ltd.,POWERGRID
Punjab National Bank,PNB
REC Ltd.,RECLTD
Reliance Industries Ltd.,RELIANCE
SBI Life Insurance Company Ltd.,SBILIFE
Shriram Finance Ltd.,SHRIRAMFIN
Siemens Ltd.,SIEMENS
State Bank of India,SBIN
Sun Pharmaceutical Industries Ltd.,SUNPHARMA
Tata Consultancy Services Ltd.,TCS
Tata Consumer Products Ltd.,TATACONSUM
Tata Motors Ltd.,TATAMOTORS
Tata Power Co. Ltd.,TATAPOWER
Tata Steel Ltd.,TATASTEEL
Tech Mahindra Ltd.,TECHM
Titan Company Ltd.,TITAN
Torrent Pharmaceuticals Ltd.,TORNTPHARM
Trent Ltd.,TRENT
TVS Motor Company Ltd.,TVSMOTOR
UltraTech Cement Ltd.,ULTRACEMCO
Union Bank of India,UNIONBANK
United Spirits Ltd.,UNITDSPR
Varun Beverages Ltd.,VBL
Vedanta Ltd.,VEDL
Wipro Ltd.,WIPRO
Zomato Ltd.,ZOMATO
Zydus Lifesciences Ltd.,ZYDUSLIFE